size,density,wind,env_index,plant_tree_proportion,tree_burn_time,plant_burn_time,percolation,percentage burnt down
500,0.657,False,0.75,0.5,3,1,False,4.8775431814994785e-05
500,0.657,False,0.75,0.5,3,1,False,0.0010771206192530746
500,0.657,False,0.75,0.5,3,1,False,0.00036541471525058315
500,0.657,False,0.75,0.5,3,1,False,5.478751575141078e-05
500,0.657,False,0.75,0.5,3,1,False,0.000390139230938041
500,0.657,False,0.75,0.5,3,1,False,0.0026289045622447924
500,0.657,False,0.75,0.5,3,1,False,0.002433756198472818
500,0.657,False,0.75,0.5,3,1,False,0.0037919134250777556
500,0.657,False,0.75,0.5,3,1,False,0.0977561177429757
500,0.657,False,0.75,0.5,3,1,False,0.002484358865334386
500,0.657,False,0.75,0.5,3,1,False,3.0461244159056432e-05
500,0.657,False,0.75,0.5,3,1,False,0.003797090319552882
500,0.657,False,0.75,0.5,3,1,False,0.00011564282192831362
500,0.657,False,0.75,0.5,3,1,False,0.13393307601130597
500,0.657,False,0.75,0.5,3,1,False,0.17612093011924917
500,0.657,False,0.75,0.5,3,1,False,0.20617952848147605
500,0.657,False,0.75,0.5,3,1,False,0.0009619599629828065
500,0.657,False,0.75,0.5,3,1,False,0.2595404048090093
500,0.657,False,0.75,0.5,3,1,False,0.06027629429121857
500,0.657,False,0.75,0.5,3,1,False,0.012602555891054381
500,0.657,False,0.75,0.5,3,1,False,0.24575465952003897
500,0.657,False,0.75,0.5,3,1,False,0.00031054955092099255
500,0.657,False,0.75,0.5,3,1,False,0.4116818583666128
500,0.657,False,0.75,0.5,3,1,False,0.408364053760241
500,0.657,False,0.75,0.5,3,1,False,0.2680954208003703
500,0.657,False,0.75,0.5,3,1,False,0.009310397320748972
500,0.657,False,0.75,0.5,3,1,False,0.006035198203475884
500,0.657,False,0.75,0.5,3,1,False,0.000778522510248519
500,0.657,False,0.75,0.5,3,1,False,0.1467094546364141
500,0.657,False,0.75,0.5,3,1,False,0.000762618282095553
500,0.657,False,0.75,0.5,3,1,False,3.045994517209869e-05
500,0.657,False,0.75,0.5,3,1,False,0.20654934853717816
500,0.657,False,0.75,0.5,3,1,True,0.3770449851024549
500,0.657,False,0.75,0.5,3,1,False,0.0008234669789741431
500,0.657,False,0.75,0.5,3,1,True,0.45300705000699526
500,0.657,False,0.75,0.5,3,1,False,0.20074084018844435
500,0.657,False,0.75,0.5,3,1,False,0.3007641755475983
500,0.657,False,0.75,0.5,3,1,False,0.3336984367488758
500,0.657,False,0.75,0.5,3,1,True,0.4072798639596755
500,0.657,False,0.75,0.5,3,1,False,0.03177148431545895
500,0.657,False,0.75,0.5,3,1,False,0.42971349999695796
500,0.657,False,0.75,0.5,3,1,False,0.0006279032907009352
500,0.657,False,0.75,0.5,3,1,False,0.026562195597116697
500,0.657,False,0.75,0.5,3,1,False,6.691445291351612e-05
500,0.657,False,0.75,0.5,3,1,False,4.887376517377678e-05
500,0.657,False,0.75,0.5,3,1,False,0.580479399928157
500,0.657,False,0.75,0.5,3,1,False,0.0020802957558306236
500,0.657,False,0.75,0.5,3,1,False,0.00014591528401802054
500,0.657,False,0.75,0.5,3,1,False,0.0022098034918547737
500,0.657,False,0.75,0.5,3,1,True,0.5042932548466347
500,0.657,False,0.75,0.5,3,1,True,0.5655494478766357
500,0.657,False,0.75,0.5,3,1,False,0.00019439770124718276
500,0.657,False,0.75,0.5,3,1,False,3.051981346290011e-05
500,0.657,False,0.75,0.5,3,1,False,0.003704990158619891
500,0.657,False,0.75,0.5,3,1,False,0.020946389896089358
500,0.657,False,0.75,0.5,3,1,False,6.0975609756097564e-06
500,0.657,False,0.75,0.5,3,1,False,0.23696506576785953
500,0.657,False,0.75,0.5,3,1,False,0.0559438011912496
500,0.657,False,0.75,0.5,3,1,False,1.8242737870099544e-05
500,0.657,False,0.75,0.5,3,1,False,8.525097277449291e-05
500,0.657,False,0.75,0.5,3,1,False,0.35998415213946117
500,0.657,False,0.75,0.5,3,1,False,0.19487739017536587
500,0.657,False,0.75,0.5,3,1,False,0.3809724307106506
500,0.657,False,0.75,0.5,3,1,False,0.32780946930724414
500,0.657,False,0.75,0.5,3,1,False,0.001930055283602445
