size,density,wind,env_index,plant_tree_proportion,tree_burn_time,plant_burn_time,percolation,percentage burnt down
100,0.05,False,0.25,0.0,1,1,False,0.00199203187250996
100,0.05,False,0.25,0.0,1,1,False,0.0020920502092050207
100,0.05,False,0.25,0.0,1,1,False,0.0018450184501845018
100,0.05,False,0.25,0.0,1,1,False,0.0019455252918287938
100,0.05,False,0.25,0.0,1,1,False,0.0021141649048625794
100,0.05,False,0.25,0.0,1,1,False,0.0020876826722338203
100,0.05,False,0.25,0.0,1,1,False,0.002
100,0.05,False,0.25,0.0,1,1,False,0.001968503937007874
100,0.05,False,0.25,0.0,1,1,False,0.0018587360594795538
100,0.05,False,0.25,0.0,1,1,False,0.001937984496124031
100,0.05,False,0.25,0.0,1,1,False,0.0019011406844106464
100,0.05,False,0.25,0.0,1,1,False,0.002061855670103093
100,0.05,False,0.25,0.0,1,1,False,0.0018832391713747645
100,0.05,False,0.25,0.0,1,1,False,0.0019801980198019802
100,0.05,False,0.25,0.0,1,1,False,0.0020242914979757085
100,0.05,False,0.25,0.0,1,1,False,0.003992015968063872
100,0.05,False,0.25,0.0,1,1,False,0.0020325203252032522
100,0.05,False,0.25,0.0,1,1,False,0.0021231422505307855
100,0.05,False,0.25,0.0,1,1,False,0.0020491803278688526
100,0.05,False,0.25,0.0,1,1,False,0.002150537634408602
100,0.05,False,0.25,0.0,1,1,False,0.0019011406844106464
100,0.05,False,0.25,0.0,1,1,False,0.0020833333333333333
100,0.05,False,0.25,0.0,1,1,False,0.0020920502092050207
100,0.05,False,0.25,0.0,1,1,False,0.0019569471624266144
100,0.05,False,0.25,0.0,1,1,False,0.002008032128514056
100,0.05,True,0.25,0.0,1,1,False,0.0021598272138228943
100,0.05,True,0.25,0.0,1,1,False,0.0018656716417910447
100,0.05,True,0.25,0.0,1,1,False,0.0021413276231263384
100,0.05,True,0.25,0.0,1,1,False,0.00196078431372549
100,0.05,True,0.25,0.0,1,1,False,0.002
100,0.05,True,0.25,0.0,1,1,False,0.0020161290322580645
100,0.05,True,0.25,0.0,1,1,False,0.0019157088122605363
100,0.05,True,0.25,0.0,1,1,False,0.0020242914979757085
100,0.05,True,0.25,0.0,1,1,False,0.0021551724137931034
100,0.05,True,0.25,0.0,1,1,False,0.002004008016032064
100,0.05,True,0.25,0.0,1,1,False,0.003787878787878788
100,0.05,True,0.25,0.0,1,1,False,0.0041753653444676405
100,0.05,True,0.25,0.0,1,1,False,0.0019646365422396855
100,0.05,True,0.25,0.0,1,1,False,0.0019455252918287938
100,0.05,True,0.25,0.0,1,1,False,0.002
100,0.05,True,0.25,0.0,1,1,False,0.0019646365422396855
100,0.05,True,0.25,0.0,1,1,False,0.0020325203252032522
100,0.05,True,0.25,0.0,1,1,False,0.001996007984031936
100,0.05,True,0.25,0.0,1,1,False,0.00205761316872428
100,0.05,True,0.25,0.0,1,1,False,0.0020964360587002098
100,0.05,True,0.25,0.0,1,1,False,0.0019880715705765406
100,0.05,True,0.25,0.0,1,1,False,0.0021008403361344537
100,0.05,True,0.25,0.0,1,1,False,0.0019342359767891683
100,0.05,True,0.25,0.0,1,1,False,0.0020161290322580645
100,0.05,True,0.25,0.0,1,1,False,0.0021598272138228943
100,0.1,False,0.25,0.0,1,1,False,0.0009813542688910696
100,0.1,False,0.25,0.0,1,1,False,0.0010131712259371835
100,0.1,False,0.25,0.0,1,1,False,0.0010235414534288639
100,0.1,False,0.25,0.0,1,1,False,0.000968054211035818
100,0.1,False,0.25,0.0,1,1,False,0.001040582726326743
100,0.1,False,0.25,0.0,1,1,False,0.0009881422924901185
100,0.1,False,0.25,0.0,1,1,False,0.0019940179461615153
100,0.1,False,0.25,0.0,1,1,False,0.001040582726326743
100,0.1,False,0.25,0.0,1,1,False,0.0009596928982725527
100,0.1,False,0.25,0.0,1,1,False,0.0009832841691248771
100,0.1,False,0.25,0.0,1,1,False,0.0010857763300760044
100,0.1,False,0.25,0.0,1,1,False,0.0010224948875255625
