size,density,wind,env_index,plant_tree_proportion,tree_burn_time,plant_burn_time,percolation,percentage burnt down
100,0.025,True,0.75,0.5,3,1,False,0.003787878787878788
100,0.15,True,0.75,0.5,3,1,False,0.001321003963011889
100,0.025,True,0.75,0.5,3,1,False,0.0036363636363636364
100,0.05,True,0.75,0.5,3,1,False,0.001968503937007874
100,0.075,True,0.75,0.5,3,1,False,0.001303780964797914
100,0.05,True,0.75,0.5,3,1,False,0.0019646365422396855
100,0.125,True,0.75,0.5,3,1,False,0.000794912559618442
100,0.1,True,0.75,0.5,3,1,False,0.001984126984126984
100,0.075,True,0.75,0.5,3,1,False,0.00390625
100,0.05,True,0.75,0.5,3,1,False,0.002028397565922921
100,0.1,True,0.75,0.5,3,1,False,0.0031023784901758012
100,0.025,True,0.75,0.5,3,1,False,0.0047169811320754715
100,0.025,True,0.75,0.5,3,1,False,0.003663003663003663
100,0.025,True,0.75,0.5,3,1,False,0.004366812227074236
100,0.2,True,0.75,0.5,3,1,False,0.0009891196834817012
100,0.2,True,0.75,0.5,3,1,False,0.0015408320493066256
100,0.05,True,0.75,0.5,3,1,False,0.002066115702479339
100,0.15,True,0.75,0.5,3,1,False,0.004073319755600814
100,0.2,True,0.75,0.5,3,1,False,0.007186858316221766
100,0.025,True,0.75,0.5,3,1,False,0.003875968992248062
100,0.025,True,0.75,0.5,3,1,False,0.008264462809917356
100,0.1,True,0.75,0.5,3,1,False,0.0009514747859181732
100,0.2,True,0.75,0.5,3,1,False,0.0035551041137633316
100,0.075,True,0.75,0.5,3,1,False,0.0013623978201634877
100,0.2,True,0.75,0.5,3,1,False,0.0010298661174047373
100,0.2,True,0.75,0.5,3,1,False,0.0024826216484607746
100,0.05,True,0.75,0.5,3,1,False,0.00205761316872428
100,0.2,True,0.75,0.5,3,1,False,0.0005060728744939271
100,0.2,True,0.75,0.5,3,1,False,0.004540867810292634
100,0.225,True,0.75,0.5,3,1,False,0.00043956043956043956
100,0.05,True,0.75,0.5,3,1,False,0.0020325203252032522
100,0.05,True,0.75,0.5,3,1,False,0.0018656716417910447
100,0.225,True,0.75,0.5,3,1,False,0.006729475100942127
100,0.125,True,0.75,0.5,3,1,False,0.0016246953696181965
100,0.025,True,0.75,0.5,3,1,False,0.00411522633744856
100,0.025,True,0.75,0.5,3,1,False,0.00390625
100,0.225,True,0.75,0.5,3,1,False,0.010498687664041995
100,0.225,True,0.75,0.5,3,1,False,0.007120605251446373
100,0.225,True,0.75,0.5,3,1,False,0.0013345195729537367
100,0.025,True,0.75,0.5,3,1,False,0.0035714285714285713
100,0.225,True,0.75,0.5,3,1,False,0.002600780234070221
100,0.125,True,0.75,0.5,3,1,False,0.0023492560689115116
100,0.225,True,0.75,0.5,3,1,False,0.0040286481647269475
100,0.225,True,0.75,0.5,3,1,False,0.0017278617710583153
100,0.225,True,0.75,0.5,3,1,False,0.005770084332001775
100,0.025,True,0.75,0.5,3,1,False,0.004291845493562232
100,0.025,True,0.75,0.5,3,1,False,0.00411522633744856
100,0.05,True,0.75,0.5,3,1,False,0.004301075268817204
100,0.225,True,0.75,0.5,3,1,False,0.007390300230946882
100,0.225,True,0.75,0.5,3,1,False,0.014304872597228431
100,0.225,True,0.75,0.5,3,1,False,0.0017785682525566918
100,0.225,True,0.75,0.5,3,1,False,0.0013009540329575022
100,0.225,True,0.75,0.5,3,1,False,0.0013351134846461949
